NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-03-28 10:00:48,,PC,PC-STARTS,0,0,START
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,15.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-04-07 19:29:21,0.0,LITHO,LI-SNEli,0,3,ZRO
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,65.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-04-19 12:37:54,0.0,LITHO,LI-SAVli,0,16,NDR
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,77.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-04-19 18:02:33,0.0,LITHO,LI-SAVli,0,16,NDR
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,103.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-04-20 23:21:16,0.0,LITHO,LI-SAVli,0,22,PDR
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,115.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-04-21 06:37:20,0.0,LITHO,LI-SAVli,0,22,PDR
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,171.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-04-28 11:30:34,2.0,LITHO,LI-SAYli,0,37,DPR
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,190.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-04-29 01:41:51,2.0,LITHO,LI-SAYli,0,39,DPR
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,238.0,251522,L 8DNUfS,L P1278 f DNU SED (DPR),,,LITHO,LI-SAYli,0,50,DNU
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,286.0,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",,,LITHO,LI-SNEli,0,63,PDI
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,305.0,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",,,LITHO,LI-SNEli,0,66,NDI
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,366.0,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",,,LITHO,LI-SAYli,0,85,PLY
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,461.0,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,109,PS1
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,510.0,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,123,PS2
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,546.0,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",,,LITHO,LI-SAVli,0,135,NES
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,605.0,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,155,FT1
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,621.0,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,155,FT2
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,674.0,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,,LITHO,LI-SAVli,0,175,FTP
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,744.0,228394,L 8c DR5S,"L P1278c DR5 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,203,DR5
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,772.0,228391,L 8cHNUuS,"L P1278c u hnu HNU SED (DPR,PLY)",,,LITHO,LI-SAVli,0,218,HNU
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,804.0,242984,L 8 DR6xS,"L P1278 x DR6ddm SED (DPR,PLY)",,,LITHO,LI-SAVli,0,234,DR6
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,836.0,242985,L 8 DR4xS,"L P1278 x DR4 SED (DPR,PLY)",,,LITHO,LI-SAVli,0,250,DR4
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,868.0,242990,L 8 HNSxS,"L P1278 HNS x SED (PLY,DCB)",,,LITHO,LI-SAVli,0,266,HNS
8PXSCB,Scout 2,8PXSCVB,8PXSCB,8PXSCV   B,L5139640,901.0,242983,L 8 QDMxS,"L P1278 x QDM SED (DPR,PLY)",,,LITHO,LI-SAVli,0,282,QDM
