LAYER,TREND,PLAN
START,2025-03-28 10:00:48,2025-04-08 06:38:47.585956416
ZRO,2025-04-07 19:29:21,2025-04-08 17:48:14.171912832
NDR,2025-04-19 12:37:54,2025-04-10 18:09:09.377723970
NDR,2025-04-19 18:02:33,2025-04-10 18:09:09.377723970
PDR,2025-04-20 23:21:16,2025-04-11 16:28:02.549636803
PDR,2025-04-21 06:37:20,2025-04-11 16:28:02.549636803
DPR,2025-04-28 11:30:34,2025-04-14 00:15:15.479418885
DPR,2025-04-29 01:41:51,2025-04-14 07:41:33.203389830
DNU,,2025-04-16 00:36:10.685230023
PDI,,2025-04-18 00:57:05.891041161
NDI,,2025-04-18 12:06:32.476997578
PLY,,2025-04-21 10:46:20.854721549
PS1,,2025-04-25 04:01:53.542372881
PS2,,2025-04-27 08:05:57.610169491
NES,,2025-04-29 04:43:43.953995157
FT1,,2025-05-02 07:06:41.193704600
FT2,,2025-05-02 07:06:41.193704600
FTP,,2025-05-05 09:29:38.433414043
DR5,,2025-05-09 17:37:46.569007263
HNU,,2025-05-12 01:24:59.498789346
DR6,,2025-05-14 12:55:21.290556900
DR4,,2025-05-17 00:25:43.082324454
HNS,,2025-05-19 11:56:04.874092009
QDM,,2025-05-21 23:26:26.665859563
PB2,,2025-05-25 12:58:50.491525423
PBM,,2025-05-28 19:04:56.593220339
NBM,,2025-05-29 21:06:58.627118644
TPA,,2025-06-02 18:05:40.176755448
TPB,,2025-06-02 21:48:49.038740920
NSD,,2025-06-05 16:45:28.554479418
PSD,,2025-06-06 07:38:04.002421306
GC1,,2025-06-10 12:03:03.276029055
GC2,,2025-06-10 15:46:12.138014528
PCT,,2025-06-12 04:57:40.757869249
PCL,,2025-06-14 09:01:44.825665859
DVG,,2025-06-16 13:05:48.893462469
DVP,,2025-06-17 00:15:15.479418886
TLK,,2025-06-18 20:53:01.823244551
VCG,,2025-06-20 10:04:30.443099272
VCT,,2025-06-21 00:57:05.891041162
MT0,,2025-06-23 05:01:09.958837772
VA0,,2025-06-25 20:14:40.612590798
MT1,,2025-06-27 16:52:26.956416464
TFR,,2025-06-29 17:13:22.162227602
MT2,,2025-06-30 19:15:24.196125908
VA1,,2025-07-01 13:51:08.506053268
MT3,,2025-07-04 05:04:39.159806294
VA2,,2025-07-04 16:14:05.745762711
MT4,,2025-07-07 00:01:18.675544794
VA3,,2025-07-07 11:10:45.261501211
MT5,,2025-07-09 15:14:49.329297820
VA4,,2025-07-09 22:41:07.053268764
MT6,,2025-07-11 11:52:35.673123486
VA5,,2025-07-11 15:35:44.535108958
MT7,,2025-07-13 08:30:22.016949152
VA6,,2025-07-13 12:13:30.878934624
MT8,,2025-07-15 05:08:08.360774818
VA7,,2025-07-15 08:51:17.222760289
MT9,,2025-07-17 01:45:54.704600484
VA8,,2025-07-17 05:29:03.566585955
M10,,2025-07-18 22:23:41.048426150
VA9,,2025-07-19 02:06:49.910411621
M11,,2025-07-20 15:18:18.530266344
V10,,2025-07-20 19:01:27.392251815
M12,,2025-07-22 08:12:56.012106536
V11,,2025-07-22 11:56:04.874092010
M13,,2025-07-24 01:07:33.493946732
V12,,2025-07-24 04:50:42.355932202
M14,,2025-07-25 18:02:10.975786924
V13,,2025-07-25 21:45:19.837772396
BKR,,2025-07-29 03:51:25.939467312
BM0,,2025-07-30 13:19:45.697336560
BCN,,2025-07-30 20:46:03.421307506
BV0,,2025-08-01 02:31:14.317191284
BM1,,2025-08-01 06:14:23.179176754
BV1,,2025-08-02 11:59:34.075060532
BM2,,2025-08-02 15:42:42.937046006
BV2,,2025-08-03 21:27:53.832929782
BM3,,2025-08-05 03:13:04.728813558
BV3,,2025-08-06 08:58:15.624697336
BM4,,2025-08-08 01:52:53.106537532
BAV,,2025-08-09 15:04:21.726392252
BC1,,2025-08-10 02:13:48.312348668
BC2,,2025-08-10 17:06:23.760290556
BC3,,2025-08-11 07:58:59.208232444
BV4,,2025-08-11 19:08:25.794188862
BM5,,2025-08-13 08:19:54.414043584
BLV,,2025-08-14 14:05:05.309927360
SHIP,,2025-08-14 17:48:14.171912832
