NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-03-24 17:55:06,,PC,PC-STARTS,0,0,START
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,25.0,186313,L 4DCB1C,L P1274  DCB SED 1C (),2025-04-02 05:31:22,,LITHO,LI-WET,0,5,DCB
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,81.0,236981,L 4DN1BPRA,L P1274  DN1 BPR ALT (DCB),2025-04-04 21:37:44,3.0,LITHO,LI-WET,0,15,DN1
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,98.0,176705,L 4DN2 BPR,"L P1274  DN2 BPR (DN1,DCB)",2025-04-05 06:00:07,3.0,LITHO,LI-WET,0,18,DN2
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,115.0,176706,L 4DN3 BPR,"L P1274  DN3 BPR (DN2,DN1,DCB)",2025-04-05 19:40:30,3.0,LITHO,LI-WET,0,21,DN3
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,152.0,115183,L 4 NWL,"L P1274 NWL SED (DN3,DN2,DN1,DCB)",2025-04-09 05:38:20,3.0,LITHO,LI-SNEli,0,34,NWL
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,160.0,115184,L 4 PWL,"L P1274  PWL SED (DN3,DN2,DN1,DCB)",2025-04-09 08:59:27,3.0,LITHO,LI-SNEli,0,36,PWL
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,168.0,116569,L 5TPW,"L P1275 TPW SED (DN3,DN2,DN1,DCB)",2025-04-09 12:56:43,3.0,LITHO,LI-SNEli,0,38,TPW
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,177.0,116568,L 5TNW,"L P1275 TNW SED (DN3,DN2,DN1,DCB)",2025-04-09 17:35:34,3.0,LITHO,LI-SNEli,0,41,TNW
8PWQCA,Lead Lot,8PWQCVA,8PWQCA,8PWQCV   A,L5138740,190.0,127366,L 5NVT,"L P1275 NVT SED (DN3,DN2,DN1,DCB)",2025-04-10 11:08:59,3.0,LITHO,LI-SNEli,0,46,NVT
