NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-03-24 17:55:06,,PC,PC-STARTS,0,0,START
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,25.0,186313,L 4DCB1C,L P1274  DCB SED 1C (),2025-03-27 07:23:51,3.0,LITHO,LI-WET,0,5,DCB
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,81.0,236981,L 4DN1BPRA,L P1274  DN1 BPR ALT (DCB),2025-03-29 13:45:46,2.0,LITHO,LI-WET,0,15,DN1
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,98.0,176705,L 4DN2 BPR,"L P1274  DN2 BPR (DN1,DCB)",2025-03-30 02:34:44,2.0,LITHO,LI-WET,0,18,DN2
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,115.0,176706,L 4DN3 BPR,"L P1274  DN3 BPR (DN2,DN1,DCB)",2025-03-30 23:15:49,2.0,LITHO,LI-WET,0,21,DN3
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,152.0,115183,L 4 NWL,"L P1274 NWL SED (DN3,DN2,DN1,DCB)",2025-04-02 23:14:00,2.0,LITHO,LI-SNEli,0,34,NWL
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,160.0,115184,L 4 PWL,"L P1274  PWL SED (DN3,DN2,DN1,DCB)",2025-04-03 09:35:09,2.0,LITHO,LI-SNEli,0,36,PWL
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,168.0,116569,L 5TPW,"L P1275 TPW SED (DN3,DN2,DN1,DCB)",2025-04-03 23:56:07,2.0,LITHO,LI-SNEli,0,38,TPW
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,177.0,116568,L 5TNW,"L P1275 TNW SED (DN3,DN2,DN1,DCB)",2025-04-04 10:21:00,2.0,LITHO,LI-SNEli,0,41,TNW
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,190.0,127366,L 5NVT,"L P1275 NVT SED (DN3,DN2,DN1,DCB)",2025-04-04 21:01:42,2.0,LITHO,LI-SNEli,0,46,NVT
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,206.0,143210,L 5SVN,"L P1275 SVN SED (DN3,DN2,DN1,DCB)",2025-04-05 18:02:10,2.0,LITHO,LI-SNEli,0,53,SVN
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,249.0,168993,L 5PLP,"L P1275  PLP SED (DN3,DN2,DN1,DCB)",2025-04-09 00:56:54,2.0,LITHO,LI-WET,0,69,PLP
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,260.0,168993,L 5PLP,"L P1275  PLP SED (DN3,DN2,DN1,DCB)",2025-04-09 20:41:26,2.0,LITHO,LI-WET,0,69,PLP
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,271.0,168993,L 5PLP,"L P1275  PLP SED (DN3,DN2,DN1,DCB)",2025-04-10 03:56:11,2.0,LITHO,LI-WET,0,69,PLP
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,300.0,158704,L 5HVG A,"L P1275 HVG A SED (DN3,DN2,DN1,DCB)",2025-04-11 02:59:22,2.0,LITHO,LI-WET,0,73,HVG
8PWQCA,Scout 2,8PWQCVA,8PWQCA,8PWQCV   A,L5139560,331.0,137546,L 5TNT2,"L P1275 TL TNT SED (PLP,DCB)",2025-04-11 23:33:35,2.0,LITHO,LI-SNEli,0,78,TNT
