COMMON_NAME,TITLE,RET_PROD,REV,LAYER,STEP,PLATE_TYPE,TAPEIN_TREND,ITO_TREND,ITO_COMMIT,ITO_STATUS,RET_FABREV,FAB,BARCODE,IMO_TREND,IMO_COMMIT,IMO_STATUS,SHIPDATE,FAB_REQUIREDDATE,IMO_DOTPROCESS,IMO_ISHOT,TECHNOLOGY,TO_ENGCONTACT,DBNAMES,LAST_UPDATED_TIMESTAMP
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,PDR,B,AI6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 3.0.4.0,F52,8PXSCBPDR0AA3,~12/12/2024,2025-03-29 00:00:00,Rejected,,03/10/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0SA3,8PXSCB,0,ZRO,B,XC6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 1.2.0.0,F32,8PXSCBZRO0SA3,03/03/2025,2025-03-29 00:00:00,Shipped,2025-03-03 12:47:42,03/10/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0EA5,8PXSCB,0,DNU,B,EA6M,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 2.2.3.0,F52,8PXSCBDNU0EA5,04/20/2025,2025-04-15 00:00:00,Shipped,2025-04-20 03:37:22,04/03/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0EB3,8PXSCB,0,DNU,B,EA6M,12/20/2024,01/06/2025,2025-01-06 12:00:00,Released,REV 2.2.3.0,F52,8PXSCBDNU0EB3,04/04/2025,2025-04-15 00:00:00,Shipped,2025-04-04 20:37:54,04/03/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0EA6,8PXSCB,0,DPR,B,EA6M,12/03/2024,12/06/2024,2024-12-08 12:00:00,Released,REV 2.2.7.0,F32,8PXSCBDPR0EA6,03/22/2025,2025-04-15 00:00:00,Shipped,2025-03-22 16:58:52,04/01/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0EC2,8PXSCB,0,DNU,B,EA6M,02/03/2025,02/12/2025,2025-02-17 12:00:00,Released,REV 4.0.1.0,F52,8PXSCBDNU0EC2,04/06/2025,2025-04-24 00:00:00,Shipped,2025-04-06 11:45:32,04/03/2025,1278.3-17,,1278.3,MWHIGGIN,"8pxscb_0a.oas,f300351a.oas",2025-02-12 09:23:53
PANTHERLAKE-CPU-P,0AB3,8PXSCB,0,FTP,B,AI6N,12/03/2024,12/08/2024,2024-12-08 12:00:00,Released,REV 1.0.3.0,F32,8PXSCBFTP0AB3,03/20/2025,2025-04-05 00:00:00,Shipped,2025-03-20 03:41:20,04/20/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:23:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,HNU,B,AI6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 3.97.3.0,F32,8PXSCBHNU0AA3,03/21/2025,2025-04-06 00:00:00,Shipped,2025-03-21 23:00:50,04/18/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,NBM,B,AI6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 5.1.4.0,F32,8PXSCBNBM0AA3,03/22/2025,2025-04-06 00:00:00,Shipped,2025-03-22 07:20:03,04/29/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,0AA3,8PXSCB,0,PBM,B,AI6N,12/03/2024,12/05/2024,2024-12-08 12:00:00,Released,REV 3.1.4.0,F32,8PXSCBPBM0AA3,03/21/2025,2025-04-06 00:00:00,Shipped,2025-03-21 21:58:54,04/27/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0a.oas,f300351a.oas",2025-01-25 03:03:54
PANTHERLAKE-CPU-P,1AA4,8PXSCB,0',QDM,B,AI6N,12/22/2024,12/24/2024,2024-12-27 12:00:00,Released,REV 2.1.4.0,F32,8PXSCBQDM1AA4,03/20/2025,2025-04-06 00:00:00,Shipped,2025-03-20 15:19:05,03/20/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0c.oas,f300351a.oas",2025-03-07 09:43:59
PANTHERLAKE-CPU-P,1AA4,8PXSCB,0',DR4,B,AI6N,12/22/2024,12/24/2024,2024-12-27 12:00:00,Released,REV 1.2.6.0,F32,8PXSCBDR41AA4,03/18/2025,2025-04-06 00:00:00,Shipped,2025-03-18 11:03:03,04/29/2025,1278.3-17,,1278.3,VERJAVEC,"8pxscb_0c.oas,f300351a.oas",2025-03-07 09:43:59
