LAYER,TREND,PLAN
START,2025-03-28 10:00:38,2025-04-07 23:11:17.077669902
ZRO,2025-04-07 12:00:13,2025-04-08 10:22:21.155339804
ZRO,2025-04-07 17:51:43,2025-04-08 10:22:21.155339804
NDR,2025-04-19 15:54:50,2025-04-10 10:50:18.825242717
PDR,2025-04-20 21:55:46,2025-04-11 09:12:26.980582523
PDR,2025-04-21 06:46:40,2025-04-11 09:12:26.980582523
DPR,2025-04-28 00:49:28,2025-04-13 17:07:47.368932037
DNU,,2025-04-15 10:08:22.320388348
PDI,,2025-04-17 10:36:19.990291261
NDI,,2025-04-17 21:47:24.067961164
PLY,,2025-04-20 20:37:29.893203882
PS1,,2025-04-24 14:06:02.514563105
PS2,,2025-04-26 18:17:41.543689319
NES,,2025-04-28 15:01:57.854368931
FT1,,2025-05-01 17:35:45.038834950
FT2,,2025-05-01 17:35:45.038834950
FTP,,2025-05-04 20:09:32.223300970
DR5,,2025-05-09 04:32:50.281553397
HNU,,2025-05-11 12:28:10.669902911
DR6,,2025-05-14 00:07:12.417475727
DR4,,2025-05-16 11:46:14.165048542
HNS,,2025-05-18 23:25:15.912621358
QDM,,2025-05-21 11:04:17.660194173
PB2,,2025-05-25 00:49:08.922330096
PBM,,2025-05-28 07:06:37.466019416
NBM,,2025-05-29 09:12:26.980582522
TPA,,2025-06-02 06:24:40.961165047
TPB,,2025-06-02 10:08:22.320388348
NSD,,2025-06-05 05:14:46.786407766
PSD,,2025-06-05 20:09:32.223300970
GC1,,2025-06-10 00:49:08.922330097
GC2,,2025-06-10 04:32:50.281553397
PCT,,2025-06-11 17:49:43.873786407
PCL,,2025-06-13 22:01:22.902912621
DVG,,2025-06-16 02:13:01.932038835
DVP,,2025-06-16 13:24:06.009708736
TLK,,2025-06-18 10:08:22.320388348
VCG,,2025-06-19 23:25:15.912621359
VCT,,2025-06-20 14:20:01.349514561
MT0,,2025-06-22 18:31:40.378640776
VA0,,2025-06-25 09:54:23.485436892
MT1,,2025-06-27 06:38:39.796116504
TFR,,2025-06-29 07:06:37.466019417
MT2,,2025-06-30 09:12:26.980582522
VA1,,2025-07-01 03:50:53.776699028
MT3,,2025-07-03 19:13:36.883495144
VA2,,2025-07-04 06:24:40.961165048
MT4,,2025-07-06 14:20:01.349514561
VA3,,2025-07-07 01:31:05.427184466
MT5,,2025-07-09 05:42:44.456310679
VA4,,2025-07-09 13:10:07.174757282
MT6,,2025-07-11 02:27:00.766990291
VA5,,2025-07-11 06:10:42.126213590
MT7,,2025-07-12 23:11:17.077669902
VA6,,2025-07-13 02:54:58.436893204
MT8,,2025-07-14 19:55:33.388349513
VA7,,2025-07-14 23:39:14.747572815
MT9,,2025-07-16 16:39:49.699029125
VA8,,2025-07-16 20:23:31.058252428
M10,,2025-07-18 13:24:06.009708738
VA9,,2025-07-18 17:07:47.368932039
M11,,2025-07-20 06:24:40.961165048
V10,,2025-07-20 10:08:22.320388349
M12,,2025-07-21 23:25:15.912621358
V11,,2025-07-22 03:08:57.271844662
M13,,2025-07-23 16:25:50.864077668
V12,,2025-07-23 20:09:32.223300970
M14,,2025-07-25 09:26:25.815533980
V13,,2025-07-25 13:10:07.174757282
BKR,,2025-07-28 19:27:35.718446600
BM0,,2025-07-30 05:00:47.951456310
BCN,,2025-07-30 12:28:10.669902912
BV0,,2025-07-31 18:17:41.543689320
BM1,,2025-07-31 22:01:22.902912620
BV1,,2025-08-02 03:50:53.776699030
BM2,,2025-08-02 07:34:35.135922328
BV2,,2025-08-03 13:24:06.009708738
BM3,,2025-08-04 19:13:36.883495142
BV3,,2025-08-06 01:03:07.757281554
BM4,,2025-08-07 18:03:42.708737864
BAV,,2025-08-09 07:20:36.300970874
BC1,,2025-08-09 18:31:40.378640774
BC2,,2025-08-10 09:26:25.815533980
BC3,,2025-08-11 00:21:11.252427184
BV4,,2025-08-11 11:32:15.330097086
BM5,,2025-08-13 00:49:08.922330096
BLV,,2025-08-14 06:38:39.796116506
SHIP,,2025-08-14 10:22:21.155339804
