NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-03-24 17:55:07,,PC,PC-STARTS,0,0,START
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,22.0,186313,L 4DCB1C,L P1274  DCB SED 1C (),2025-03-26 09:45:48,3.0,LITHO,LI-WET,0,5,DCB
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,35.0,186313,L 4DCB1C,L P1274  DCB SED 1C (),2025-03-27 04:50:18,3.0,LITHO,LI-WET,0,5,DCB
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,91.0,236981,L 4DN1BPRA,L P1274  DN1 BPR ALT (DCB),2025-03-29 02:50:14,2.0,LITHO,LI-WET,0,15,DN1
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,101.0,236981,L 4DN1BPRA,L P1274  DN1 BPR ALT (DCB),2025-03-29 17:37:43,2.0,LITHO,LI-WET,0,15,DN1
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,118.0,176705,L 4DN2 BPR,"L P1274  DN2 BPR (DN1,DCB)",2025-03-29 23:02:15,2.0,LITHO,LI-WET,0,18,DN2
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,128.0,176705,L 4DN2 BPR,"L P1274  DN2 BPR (DN1,DCB)",2025-03-30 03:38:11,2.0,LITHO,LI-WET,0,18,DN2
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,145.0,176706,L 4DN3 BPR,"L P1274  DN3 BPR (DN2,DN1,DCB)",2025-03-30 10:32:29,2.0,LITHO,LI-WET,0,21,DN3
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,155.0,176706,L 4DN3 BPR,"L P1274  DN3 BPR (DN2,DN1,DCB)",2025-03-31 11:23:34,2.0,LITHO,LI-WET,0,21,DN3
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,192.0,115183,L 4 NWL,"L P1274 NWL SED (DN3,DN2,DN1,DCB)",2025-04-03 13:44:14,2.0,LITHO,LI-SNEli,0,34,NWL
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,200.0,115184,L 4 PWL,"L P1274  PWL SED (DN3,DN2,DN1,DCB)",2025-04-03 22:44:21,2.0,LITHO,LI-SNEli,0,36,PWL
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,208.0,116569,L 5TPW,"L P1275 TPW SED (DN3,DN2,DN1,DCB)",2025-04-04 05:53:51,2.0,LITHO,LI-SNEli,0,38,TPW
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,217.0,116568,L 5TNW,"L P1275 TNW SED (DN3,DN2,DN1,DCB)",2025-04-04 16:59:55,2.0,LITHO,LI-SNEli,0,41,TNW
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,230.0,127366,L 5NVT,"L P1275 NVT SED (DN3,DN2,DN1,DCB)",2025-04-05 04:36:34,2.0,LITHO,LI-SNEli,0,46,NVT
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,246.0,143210,L 5SVN,"L P1275 SVN SED (DN3,DN2,DN1,DCB)",2025-04-05 18:58:28,2.0,LITHO,LI-SNEli,0,53,SVN
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,289.0,168993,L 5PLP,"L P1275  PLP SED (DN3,DN2,DN1,DCB)",2025-04-09 05:00:30,2.0,LITHO,LI-WET,0,69,PLP
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,300.0,168993,L 5PLP,"L P1275  PLP SED (DN3,DN2,DN1,DCB)",2025-04-10 03:57:38,2.0,LITHO,LI-WET,0,69,PLP
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,329.0,158704,L 5HVG A,"L P1275 HVG A SED (DN3,DN2,DN1,DCB)",2025-04-10 21:48:30,2.0,LITHO,LI-WET,0,73,HVG
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,342.0,158704,L 5HVG A,"L P1275 HVG A SED (DN3,DN2,DN1,DCB)",2025-04-11 04:30:39,2.0,LITHO,LI-WET,0,73,HVG
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,373.0,137546,L 5TNT2,"L P1275 TL TNT SED (PLP,DCB)",2025-04-12 11:36:05,2.0,LITHO,LI-SNEli,0,78,TNT
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,390.0,137547,L 5TPT2,"L P1275 TL TPT SED (PLP,DCB)",2025-04-13 01:43:03,2.0,LITHO,LI-SNEli,0,82,TPT
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,436.0,227156,L 4 ESDd,"L P1274 ESDd SED (PLP,DCB)",2025-04-14 14:10:14,2.0,LITHO,LI-SNEli,0,98,ESD
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,475.0,125426,L 4 NESb,"L P1274 NESb SED (PLP,DCB)",2025-04-17 06:31:10,2.0,LITHO,LI-SNEli,0,110,NES
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,538.0,192294,L 4PC1e,"L P1274 e PC1 SED (PLP,DCB)",2025-04-20 11:36:45,2.0,LITHO,LI-WET,0,130,PC1
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,553.0,192295,L 4PC2e,"L P1274 e PC2 SED (PC1,PLP,DCB)",2025-04-21 06:51:17,2.0,LITHO,LI-WET,0,131,PC2
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,567.0,192296,L 4PC3e,"L P1274 e PC3 SED (PC2,PC1,PLP,DCB)",2025-04-21 23:47:12,2.0,LITHO,LI-WET,0,132,PC3
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,581.0,192296,L 4PC3e,"L P1274 e PC3 SED (PC2,PC1,PLP,DCB)",2025-04-22 05:35:51,2.0,LITHO,LI-WET,0,132,PC3
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,630.0,165185,L 4FTIr5,"L P1274 FTI Rev5.32 SED (PLP,DCB)",2025-04-23 13:06:29,2.0,LITHO,LI-WET,0,147,FTI
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,716.0,192701,L 5THIb,"L P1275 b THI SED (PLP,DCB)",2025-04-28 07:44:08,2.0,LITHO,LI-SNEli,0,177,THI
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,743.0,209336,L 5THXc,"L P1275 c THX SED (PLP,DCB)",2025-04-29 10:08:25,2.0,LITHO,LI-SNEli,0,186,THX
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,791.0,133007,L 5PTR,"L P1275 PTR SED (PLP,DCB)",2025-05-01 04:34:44,2.0,LITHO,LI-SNEli,0,207,PTR
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,810.0,177413,L 5QM1GT,"L P1275 QM1 GT SED (PLP,DCB)",2025-05-01 20:33:56,2.0,LITHO,LI-SNEli,0,213,QM1
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,824.0,177414,L 5QM4GT,"L P1275 QM4 GT SED (PLP,DCB)",2025-05-02 17:42:13,2.0,LITHO,LI-SNEli,0,218,QM4
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,839.0,177415,L 5QM2GT,"L P1275 QM2 GT SED (PLP,DCB)",2025-05-03 02:29:15,2.0,LITHO,LI-SNEli,0,223,QM2
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,854.0,200572,L 58QM5GT,"L P1275 dot81 QM5 GT SED (PLP,DCB)",2025-05-03 14:51:12,2.0,LITHO,LI-SNEli,0,228,QM5
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,872.0,177416,L 5QM3GT,"L P1275 QM3 GT SED (PLP,DCB)",2025-05-04 03:11:32,2.0,LITHO,LI-SNEli,0,235,QM3
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,889.0,110862,L 4DMG,"L P1274 DMG SED (PLP,DCB)",2025-05-04 18:48:04,2.0,LITHO,LI-SNEli,0,241,DMG
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,910.0,133036,L 5PHR,"L P1275 PHR SED (PLP,DCB)",2025-05-05 19:00:49,2.0,LITHO,LI-SNEli,0,246,PHR
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,991.0,241345,L 4TP1ae,L P1274 TP1 SED OPC ae R15.4,2025-05-10 00:36:51,2.0,LITHO,LI-WET,0,273,TP1
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1003.0,241347,L 4TP2ae,L P1274 TP2 SED OPC ae R15.4,2025-05-10 21:37:58,2.0,LITHO,LI-WET,0,274,TP2
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1015.0,241349,L 4TP3ae,L P1274 TP3 SED OPC ae R15.4,2025-05-11 01:29:56,2.0,LITHO,LI-WET,0,275,TP3
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1052.0,205885,L 4 PSDr,"L P1274 r PSD SED (PLP,DCB)",2025-05-12 23:29:40,2.0,LITHO,LI-SNEli,0,286,PSD
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1078.0,205886,L 4 NSDr,"L P1274 r NSD SED (PLP,DCB)",2025-05-13 15:51:17,2.0,LITHO,LI-SNEli,0,298,NSD
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1088.0,205886,L 4 NSDr,"L P1274 r NSD SED (PLP,DCB)",2025-05-14 05:27:25,2.0,LITHO,LI-SNEli,0,298,NSD
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1186.0,214043,L 4M0G sb,L P1274 sb M0G SED,2025-05-16 18:00:54,2.0,LITHO,LI-SSAFI-WET,0,331,M0G
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1197.0,214043,L 4M0G sb,L P1274 sb M0G SED,2025-05-17 00:51:03,2.0,LITHO,LI-SSAFI-WET,0,331,M0G
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1220.0,226415,L 4VGRogS,"L P1274 og VGR SED (M0G,PLP)",2025-05-17 18:49:55,2.0,LITHO,LI-SSAFI-WET,0,337,VGR
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1229.0,226415,L 4VGRogS,"L P1274 og VGR SED (M0G,PLP)",2025-05-18 08:29:40,2.0,LITHO,LI-SSAFI-WET,0,337,VGR
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1245.0,226416,L 4VTAogS,"L P1274 og VTA SED (M0G,PLP)",2025-05-18 18:18:53,2.0,LITHO,LI-SSAFI-WET,0,340,VTA
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1254.0,226416,L 4VTAogS,"L P1274 og VTA SED (M0G,PLP)",2025-05-18 22:56:49,2.0,LITHO,LI-SSAFI-WET,0,340,VTA
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1269.0,226417,L 4VTBogS,"L P1274 og VTB SED (M0G,PLP)",,,LITHO,LI-SSAFI-WET,0,343,VTB
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1293.0,231417,L 4M0AogS,"L P1274 og M0A SED (M0G,PLP)",,,LITHO,LI-SSAFI-WET,0,349,M0A
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1302.0,231418,L 4M0BogS,"L P1274 og M0B SED (M0G,PLP,M0A)",,,LITHO,LI-SSAFI-WET,0,350,M0B
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1362.0,193922,L 4VGSdr,"L P1274 dr VGS SED (M0G,PLP)",,,LITHO,LI-SSAFI-WET,0,369,VGS
8PWQCA,Scout 1,8PWQCVA,8PWQCA,8PWQCV   A,L5139550,1377.0,193923,L 4VTCdr,"L P1274 dr VTC SED (M0G,PLP)",,,LITHO,LI-SSAFI-WET,0,372,VTC
