LOT,OPERATION,OUT_DATE
A5280130,192526,2025-07-23 09:21:53
A5280130,241559,2025-07-23 10:38:07
A5280130,144812,2025-07-23 10:51:22
A5280130,209698,2025-07-23 10:51:22
A5280130,212142,2025-07-23 10:51:22
A5280130,212143,2025-07-23 10:51:22
A5280130,243694,2025-07-23 10:51:22
A5280130,199373,2025-07-23 11:07:36
A5280130,199374,2025-07-23 12:18:59
A5280130,224268,2025-07-23 12:18:59
A5280130,224457,2025-07-23 12:18:59
A5280130,143900,2025-07-23 13:33:56
A5280130,198611,2025-07-23 13:33:56
A5280130,198724,2025-07-23 15:00:51
A5280130,198777,2025-07-23 16:47:33
A5280130,198781,2025-07-23 16:47:33
A5280130,213666,2025-07-23 16:47:33
A5280130,224458,2025-07-23 16:47:33
A5280130,213202,2025-07-23 16:54:22
A5280130,213616,2025-07-23 17:00:28
A5280130,224269,2025-07-23 17:00:28
A5280130,236723,2025-07-23 19:22:38
A5280130,239972,2025-07-23 21:25:13
A5280130,248962,2025-07-24 03:39:24
A5280130,240454,2025-07-24 06:03:09
A5280130,249454,2025-07-24 06:52:53
A5280130,146197,2025-07-24 07:07:37
A5280130,214155,2025-07-24 07:07:37
A5280130,228293,2025-07-24 07:07:37
A5280130,256934,2025-07-24 07:07:37
A5280130,228868,2025-07-26 00:43:07
A5280130,249455,2025-07-26 03:51:13
A5280130,239976,2025-07-26 05:20:14
A5280130,217264,2025-07-26 06:03:19
A5280130,249267,2025-07-26 06:03:19
A5280130,217133,2025-07-26 06:03:20
A5280130,206460,2025-07-26 06:15:40
A5280130,224520,2025-07-26 06:15:40
A5280130,146197,2025-07-26 06:15:41
A5280130,199976,2025-07-26 06:15:41
A5280130,214155,2025-07-26 06:15:41
A5280130,256934,2025-07-26 06:15:41
A5280130,199977,2025-07-26 09:02:12
A5280130,199978,2025-07-26 09:52:55
A5280130,199979,2025-07-26 10:22:17
A5280130,199977,2025-07-26 11:26:50
A5280130,199978,2025-07-26 11:45:43
A5280130,199979,2025-07-26 12:53:22
A5280130,180385,2025-07-26 13:01:37
A5280130,199980,2025-07-26 13:01:46
A5280130,201217,2025-07-26 23:18:36
A5280130,201851,2025-07-27 00:03:53
A5280130,145511,2025-07-27 00:19:37
A5280130,213733,2025-07-27 00:19:37
A5280130,145451,2025-07-27 00:50:20
A5280130,145512,2025-07-27 01:00:32
A5280130,213734,2025-07-27 01:00:32
A5280130,145452,2025-07-27 01:29:20
A5280130,144204,2025-07-27 02:29:35
A5280130,176865,2025-07-27 02:50:29
A5280130,196844,2025-07-27 02:50:29
A5280130,212144,2025-07-27 02:50:29
A5280130,212145,2025-07-27 02:50:29
A5280130,219624,2025-07-27 02:50:29
A5280130,243695,2025-07-27 02:50:29
A5280130,176980,2025-07-27 02:58:11
A5280130,197141,2025-07-27 03:07:35
A5280130,196822,2025-07-27 03:36:46
A5280130,198783,2025-07-27 03:36:46
A5280130,197142,2025-07-27 03:50:27
A5280130,224270,2025-07-27 03:50:27
A5280130,224459,2025-07-27 03:50:27
A5280130,176866,2025-07-27 07:58:37
A5280130,198782,2025-07-27 07:58:37
A5280130,211888,2025-07-27 07:58:37
A5280130,224460,2025-07-27 07:58:37
A5280130,212749,2025-07-27 08:10:04
A5280130,211978,2025-07-27 08:38:08
A5280130,224271,2025-07-27 08:38:08
A5280130,243349,2025-07-27 11:19:18
A5280130,258367,2025-07-27 11:34:04
A5280130,217134,2025-07-27 11:48:29
A5280130,217266,2025-07-27 11:48:29
A5280130,261327,2025-07-27 11:48:29
A5280130,224518,2025-07-27 11:56:47
A5280130,228845,2025-07-27 12:08:20
A5280130,146197,2025-07-27 12:16:16
A5280130,205867,2025-07-27 12:16:16
A5280130,214155,2025-07-27 12:16:16
A5280130,245245,2025-07-27 12:16:16
A5280130,256934,2025-07-27 12:16:16
A5280130,205868,2025-07-27 13:44:43
A5280130,205869,2025-07-27 13:57:30
A5280130,205870,2025-07-27 14:12:52
A5280130,205871,2025-07-27 14:12:58
A5280130,144188,2025-07-27 14:43:06
A5280130,261115,2025-07-28 01:04:44
A5280130,250583,2025-07-28 01:43:11
A5280130,245660,2025-07-28 03:05:53
A5280130,201097,2025-07-28 05:52:13
