NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-07-10 03:58:23,,PC,PC-STARTS,0,0,START
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,16.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-16 10:51:26,2.0,LITHO,LI-SNEli,0,3,ZRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,78.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-20 10:25:31,2.0,LITHO,LI-SAVli,0,16,NDR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,116.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-07-20 20:15:15,2.0,LITHO,LI-SAVli,0,22,PDR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,195.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-07-23 12:44:02,2.0,LITHO,LI-SAYli,0,39,DPR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,266.0,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),2025-07-24 23:52:17,2.0,LITHO,LI-SAYli,0,51,DNU
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,348.0,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",2025-07-28 07:15:40,2.0,LITHO,LI-SNEli,0,64,PDI
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,379.0,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",2025-07-28 22:05:55,2.0,LITHO,LI-SNEli,0,67,NDI
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,461.0,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-08-01 12:05:16,2.0,LITHO,LI-SAYli,0,88,PLY
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,574.0,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,112,PS1
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,623.0,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,126,PS2
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,663.0,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",,,LITHO,LI-SAVli,0,138,NES
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,731.0,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,158,FT1
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,750.0,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,158,FT2
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,810.0,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,,LITHO,LI-SAVli,0,178,FTP
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,882.0,228394,L 8c DR5S,"L P1278c DR5 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,206,DR5
